City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
1,Mar Del Plata,AR,8.4,moderate rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
4,Husavik,IS,11.95,overcast clouds,66.0449,-17.3389,Bjarnabúð
6,Saldanha,ZA,13.03,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
8,Bredasdorp,ZA,13.62,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
9,Havre-Saint-Pierre,CA,17.2,overcast clouds,50.2334,-63.5986,Auberge Niapiskau
10,Rawson,AR,7.08,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
14,Qaanaaq,GL,3.79,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
15,Hermanus,ZA,13.83,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Bulnes,CL,10.42,clear sky,-36.7423,-72.2985,Casa de Adobe
21,Nuuk,GL,9.34,light snow,64.1835,-51.7216,Vandrehuset
22,Chuy,UY,7.91,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
23,Strezhevoy,RU,13.99,scattered clouds,60.7333,77.5889,Sibiryachka
26,Tasiilaq,GL,10.09,overcast clouds,65.6145,-37.6368,The Red House
28,Nanortalik,GL,9.36,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
31,Busselton,AU,12.83,few clouds,-33.65,115.3333,Observatory Guest House
36,Klaksvik,FO,9.51,broken clouds,62.2266,-6.589,Airbnb rooms
37,Cidreira,BR,11.82,light rain,-30.1811,-50.2056,Hotel Castelo
38,Janakkala,FI,19.02,overcast clouds,60.9,24.6,Sun Hotels Oy
39,Ust-Tsilma,RU,9.46,broken clouds,65.441,52.1498,U Praskov'i
46,Qostanay,KZ,17.19,clear sky,53.1667,63.5833,Hotel Fessla
48,Ushuaia,AR,8.81,broken clouds,-54.8,-68.3,Albatros Hotel
49,Olafsvik,IS,9.68,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
51,Pisco,PE,18.9,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
52,Clyde River,CA,2.13,light rain,70.4692,-68.5914,Qamaq Hotel
56,East London,ZA,19.05,scattered clouds,-33.0153,27.9116,Tu Casa
57,Coquimbo,CL,13.85,clear sky,-29.9533,-71.3436,Punto de encuentro
61,Port Alfred,ZA,18.2,clear sky,-33.5906,26.891,The Halyards Hotel
63,Antalaha,MG,19.15,clear sky,-14.9003,50.2788,Hotel Vitasoa
64,Turukhansk,RU,6.93,light rain,65.8167,87.9833,"ООО ""Туруханская пушнина"""
65,Floro,NO,13.04,overcast clouds,61.5996,5.0328,Kinn Hotell Florø
71,Castro,BR,16.08,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
72,Punta Arenas,CL,8.06,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
73,Sarkand,KZ,14.33,scattered clouds,45.41,79.9186,Гостиница Сарканд
77,Tornio,FI,13.01,few clouds,65.8481,24.1466,Park Hotel Tornio
79,Den Helder,NL,18.9,broken clouds,52.9599,4.7593,Hotel Den Helder
82,Longyearbyen,SJ,5.91,clear sky,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
85,Ginir,ET,13.78,broken clouds,7.1333,40.7,Sura Dare Village
86,Renfrew,GB,17.76,overcast clouds,55.872,-4.3925,Normandy Hotel Glasgow
92,Port Elizabeth,ZA,10.16,clear sky,-33.918,25.5701,39 On Nile Guest House
94,Cape Town,ZA,13.95,light rain,-33.9258,18.4232,Southern Sun Waterfront Cape Town
96,Asosa,ET,16.02,light rain,10.0667,34.5333,Blendana Hotel Assosa
99,Stockton-On-Tees,GB,15.67,scattered clouds,54.5685,-1.3187,Stockton on tees town centre apartment
103,Kokstad,ZA,8.68,few clouds,-30.5472,29.4241,Majestic Bed and Breakfast
109,Upernavik,GL,4.04,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
113,Torzhok,RU,18.75,overcast clouds,57.0436,34.9622,Hotel Torzhok
118,Hauterive,FR,18.88,light rain,46.0901,3.4459,Aletti Palace Hotel
119,Jaguaruna,BR,14.93,heavy intensity rain,-28.615,-49.0256,Pousada Recanto das Flores Jaguaruna
121,Tarko-Sale,RU,9.37,broken clouds,64.9225,77.785,Yubileynaya
123,Nadym,RU,11.52,overcast clouds,65.5333,72.5167,Apartment on Zvereva
125,Ubinskoye,RU,14.48,light rain,55.3068,79.6802,Gostinitsa Siberia
126,Luena,AO,13.01,broken clouds,-11.7833,19.9167,Hotel Kandamba
