City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2021-06-26 16:34:54,37.1041,-113.5841,33.53,20,14,1.34
1,Dhidhdhoo,MV,2021-06-26 16:34:55,6.8833,73.1,28.42,71,97,6.62
2,Ushuaia,AR,2021-06-26 16:34:58,-54.8,-68.3,4.79,75,0,0.0
3,Chuy,UY,2021-06-26 16:35:00,-33.6971,-53.4616,15.47,85,78,4.37
4,Salalah,OM,2021-06-26 16:35:01,17.0151,54.0924,28.05,89,75,4.63
5,Rincon,US,2021-06-26 16:30:28,32.296,-81.2354,31.25,65,75,3.09
6,Teya,RU,2021-06-26 16:35:07,60.3778,92.6267,6.75,96,100,1.36
7,Buenaventura,CO,2021-06-26 16:35:08,3.8801,-77.0312,29.56,65,77,1.9
8,Benguela,AO,2021-06-26 16:35:10,-12.5763,13.4055,23.77,74,71,2.94
9,Pimentel,PE,2021-06-26 16:35:11,-6.8367,-79.9342,22.16,77,75,1.79
10,Bredasdorp,ZA,2021-06-26 16:35:13,-34.5322,20.0403,13.62,67,46,3.6
11,Georgetown,MY,2021-06-26 16:35:14,5.4112,100.3354,27.97,81,20,0.0
12,Hofn,IS,2021-06-26 16:35:15,64.2539,-15.2082,16.56,44,1,4.29
13,Quatre Cocos,MU,2021-06-26 16:35:17,-20.2078,57.7625,21.06,84,66,4.62
14,Jamestown,US,2021-06-26 16:35:18,42.097,-79.2353,27.88,50,40,4.92
15,Corinto,GR,2021-06-26 16:31:59,37.9407,22.9573,37.69,42,2,1.41
16,Cidreira,BR,2021-06-26 16:35:21,-30.1811,-50.2056,16.71,94,100,5.19
17,Manglaur,IN,2021-06-26 16:35:22,29.8,77.8667,32.03,37,13,2.6
18,Port Alfred,ZA,2021-06-26 16:35:24,-33.5906,26.891,15.17,68,5,11.23
19,Hermanus,ZA,2021-06-26 16:35:25,-34.4187,19.2345,13.83,74,60,6.66
20,Tasiilaq,GL,2021-06-26 16:35:29,65.6145,-37.6368,9.09,61,90,1.83
21,Coquimbo,CL,2021-06-26 16:33:02,-29.9533,-71.3436,13.85,82,90,1.54
22,Berlevag,NO,2021-06-26 16:35:31,70.8578,29.0864,8.48,85,100,6.81
23,Aksu,CN,2021-06-26 16:35:33,41.1231,80.2644,25.19,30,1,4.25
