,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Dikson,RU,73.5069,80.5464,0.9,84,100,5.2,overcast clouds
1,Mar Del Plata,AR,-38.0023,-57.5575,8.4,57,75,0.45,moderate rain
2,Porto Belo,BR,-27.1578,-48.5531,20.91,87,100,8.34,overcast clouds
3,Upata,VE,8.0086,-62.3989,26.22,70,80,3.17,broken clouds
4,Husavik,IS,66.0449,-17.3389,11.95,69,100,1.59,overcast clouds
5,Mahibadhoo,MV,3.7833,72.9667,27.21,75,100,2.98,overcast clouds
6,Saldanha,ZA,-33.0117,17.9442,13.03,84,100,7.82,overcast clouds
7,Kongolo,CD,-5.3833,27.0,22.83,39,61,1.51,broken clouds
8,Bredasdorp,ZA,-34.5322,20.0403,13.62,54,23,5.14,few clouds
9,Havre-Saint-Pierre,CA,50.2334,-63.5986,17.2,94,90,0.0,overcast clouds
10,Rawson,AR,-43.3002,-65.1023,7.08,62,54,2.9,broken clouds
11,Karasburg,NA,-28.0167,18.75,13.24,23,2,4.12,clear sky
12,Bagan,RU,54.1001,77.6646,17.4,72,100,1.83,overcast clouds
13,Vila Franca Do Campo,PT,37.7167,-25.4333,21.23,97,70,5.09,broken clouds
14,Qaanaaq,GL,77.484,-69.3632,3.79,89,100,1.02,overcast clouds
15,Hermanus,ZA,-34.4187,19.2345,13.83,78,41,8.79,scattered clouds
16,Victoria,HK,22.2855,114.1577,30.21,89,100,0.89,light rain
17,Saint-Philippe,RE,-21.3585,55.7679,21.77,84,37,5.2,light rain
18,Georgetown,MY,5.4112,100.3354,26.64,90,20,1.54,few clouds
19,Bulnes,CL,-36.7423,-72.2985,10.42,59,0,2.46,clear sky
20,Virginia Beach,US,36.8529,-75.978,32.27,69,40,5.14,scattered clouds
21,Nuuk,GL,64.1835,-51.7216,9.34,87,75,14.92,light snow
22,Chuy,UY,-33.6971,-53.4616,7.91,79,69,6.57,broken clouds
23,Strezhevoy,RU,60.7333,77.5889,13.99,66,46,1.44,scattered clouds
24,Shache,CN,38.4167,77.2406,26.14,21,79,1.51,broken clouds
25,Tessalit,ML,20.1986,1.0114,36.89,8,4,5.17,clear sky
26,Tasiilaq,GL,65.6145,-37.6368,10.09,71,86,0.53,overcast clouds
27,Caucel,MX,21.0167,-89.7167,30.04,62,75,5.66,broken clouds
28,Nanortalik,GL,60.1432,-45.2371,9.36,87,100,5.39,overcast clouds
29,Tshikapa,CD,-6.4167,20.8,23.24,33,13,1.41,few clouds
30,Jamestown,US,42.097,-79.2353,30.72,51,40,6.69,scattered clouds
31,Busselton,AU,-33.65,115.3333,12.83,80,16,5.11,few clouds
32,Dingle,PH,10.9995,122.6711,25.0,89,98,1.44,overcast clouds
33,Novouzensk,RU,50.4592,48.1431,24.09,66,86,1.3,overcast clouds
34,Batticaloa,LK,7.7102,81.6924,26.8,71,100,1.82,overcast clouds
35,Wad Madani,SD,14.4012,33.5199,35.27,29,83,5.28,broken clouds
36,Klaksvik,FO,62.2266,-6.589,9.51,86,84,1.7,broken clouds
37,Cidreira,BR,-30.1811,-50.2056,11.82,92,100,6.71,light rain
38,Janakkala,FI,60.9,24.6,19.02,82,93,3.09,overcast clouds
39,Ust-Tsilma,RU,65.441,52.1498,9.46,69,58,1.78,broken clouds
40,Hit,IQ,33.6416,42.8251,36.85,15,0,9.47,clear sky
41,Hithadhoo,MV,-0.6,73.0833,27.71,75,100,2.97,overcast clouds
42,Lasa,IT,46.6166,10.7002,20.49,91,68,0.88,broken clouds
43,Kazanskaya,RU,45.4106,40.4361,20.78,90,2,3.22,clear sky
44,Novopskov,UA,49.5464,39.0899,21.04,82,48,3.37,scattered clouds
45,Bud,US,39.447,-86.1758,29.03,86,25,5.69,scattered clouds
46,Qostanay,KZ,53.1667,63.5833,17.19,82,8,2.64,clear sky
47,Sinnamary,GF,5.3833,-52.95,26.44,82,13,3.08,few clouds
48,Ushuaia,AR,-54.8,-68.3,8.81,53,75,5.66,broken clouds
49,Olafsvik,IS,64.8945,-23.7142,9.68,95,100,2.93,overcast clouds
50,Sao Joao Da Barra,BR,-21.6403,-41.0511,22.05,77,0,7.75,clear sky
51,Pisco,PE,-13.7,-76.2167,18.9,77,0,4.12,clear sky
